Year,sector,avg_return,volatility,avg_adj_close,avg_volume,avg_range_pct,sector_growth_yoy
1981,Aerospace & Defense,0.0004890130033329,0.0292502011736833,2.843157845641313,33600.46442687747,7438.366255917144,93.81047532749989
1982,Aerospace & Defense,-6.068246537036267e-05,0.0288530826600321,1.8606975868697693,23356.367588932808,3417.508427352061,-34.555248498696564
1983,Aerospace & Defense,0.0023077989636114,0.0299717843341779,2.3500655940457764,38429.27470355731,4578.983890759362,26.30024409282248
1984,Aerospace & Defense,-0.0003920157426902,0.0237151139193897,1.896223094446857,20457.100790513832,3049.571476243682,-19.311907750523797
1985,Aerospace & Defense,0.0016644196944286,0.0250466540125492,20.600959064098323,24088.324546952223,9.760066492394104,986.4206392395924
1986,Aerospace & Defense,-0.0011090445370873,0.0327011912748924,25.97876236735517,23912.931082981715,6.677749457153944,26.104625937677085
1987,Aerospace & Defense,0.000280223529349,0.0587683393516253,11.135347607996586,21457.76489707476,17.271705059929012,-57.13672787588515
1988,Aerospace & Defense,0.00149274118426,0.0615108054355491,9.695498876007813,14857.92252803262,15.733852810536185,-12.930433630601543
1989,Aerospace & Defense,0.0013287832630942,0.0556064409355374,17.007962114102536,11343.745967741936,7.367913812749132,75.42121691324132
1990,Aerospace & Defense,0.0018613900875468,0.0843955226424755,19.54218652343078,12046.882709807887,3.1973595712965057,14.9002237441894
1991,Aerospace & Defense,0.0041390314417252,0.0583933426842988,27.299464718067444,9709.686449060337,2.6158197804153995,39.69503712051776
1992,Aerospace & Defense,0.0017068548167328,0.0490715252200414,25.15380218614761,15988.216403162056,-2.8946988081223224,-7.859723822715758
1993,Aerospace & Defense,0.0017329084203145,0.0382286035664256,32.35701315115289,17015.99504950495,-9.547173116410114,28.63666857081406
1994,Aerospace & Defense,-0.0010982841383313,0.0442521861622349,16.792143791540525,16537.539682539682,-8.733554813927784,-48.10354184084444
1995,Aerospace & Defense,0.001401315351582,0.0425268287522231,13.421325797930596,23360.785714285717,-7.944468000876956,-20.073779950050607
1996,Aerospace & Defense,0.0022906238651477,0.0487313645400293,12.981767168493462,28551.105263157893,-7.8416276382818335,-3.275076069645133
1997,Aerospace & Defense,0.0016592239617575,0.0420327077345957,9.25256566518904,31414.027134348114,-15.820744222528417,-28.726454995704543
1998,Aerospace & Defense,0.0016951832308381,0.0545733574134692,7.735740523358141,53012.24311926605,-16.966201863712346,-16.393562571921606
1999,Aerospace & Defense,0.0017833167681994,0.0414480683034031,18.550443746699138,54717.90183028286,-8.210434229178539,139.80178356145606
2000,Aerospace & Defense,0.0016830452140427,0.0537171644580535,85.57399306284925,77789.1415762152,-2.484400812535044,361.3042913222832
2001,Aerospace & Defense,1.6271859242228096e-05,0.047353752296599,21.383819195748444,120569.91524663677,-9.97224406713416,-75.01131076115234
2002,Aerospace & Defense,2.014628196017041e-05,0.0366306425984496,13.390843733635952,93540.50899280576,-11.800025862673996,-37.37861505909882
2003,Aerospace & Defense,0.0028712307234512,0.0414201156314227,19.597643846748632,80223.2820045558,-8.026093453146892,46.351075679585854
2004,Aerospace & Defense,0.0011666147550122,0.0320446897936083,21.070754867321497,104439.98853109837,-10.824462896506745,7.516776159891614
2005,Aerospace & Defense,-0.0001599810784873,0.0261488949686646,18.75484612994093,93952.25044091712,-13.196860279589725,-10.991104741920266
2006,Aerospace & Defense,0.0008410427280942,0.0265123910931293,15.13947821128659,92028.65099778272,-15.82084881445518,-19.27697989951852
2007,Aerospace & Defense,0.0011638228734427,0.033762134986621,18.348680068439524,128174.69434416364,-17.826077462418986,21.19757241541158
2008,Aerospace & Defense,-0.0011505882682979,0.0486765456846089,17.980369463562965,165057.34375,-13.967702256292757,-2.007286646793016
2009,Aerospace & Defense,0.001924597934121,0.0453512100687178,14.83022970666015,138168.63055555554,-12.760290015966495,-17.51988335549245
2010,Aerospace & Defense,0.0011849979639792,0.0289964248216618,17.190372904614797,109724.925,-11.450504209022697,15.914407562377296
2011,Aerospace & Defense,-0.000123811213405,0.0306797093437264,18.561982269987222,133028.798015873,-9.76876587417432,7.978938985111927
2012,Aerospace & Defense,-4.797668953749334e-05,0.0266225149179482,16.242133053827285,131283.4164,-8.615893997681969,-12.49785277465163
2013,Aerospace & Defense,0.0021228008671099,0.0265487408905225,19.619081770900696,149820.42142857143,-6.667266164162157,20.79128834791604
2014,Aerospace & Defense,0.0006553915710854,0.0424910370659009,25.960938752359816,230141.25793650796,-5.753492994289484,32.324942907702514
2015,Aerospace & Defense,-0.0002426513775255,0.0308515392773629,27.47299522170945,179512.49841269842,-5.084316779179289,5.824352053571991
2016,Aerospace & Defense,0.0014436042339093,0.0291739493717886,28.718242448592,181166.87619047615,-4.404874091773992,4.532622733099512
2017,Aerospace & Defense,0.0016786516213168,0.0223392840047893,39.31305902892375,328492.8027888446,-3.429705068201939,36.89228753917422
2018,Aerospace & Defense,-7.476553434659535e-05,0.025340031991979,44.72852813789094,311596.5784860558,-2.766284147511915,13.775242229262496
2019,Aerospace & Defense,0.0014127324686542,0.0247246736878603,52.73796309000916,282145.97857142857,-1.9604962633932213,17.906770657479278
2020,Aerospace & Defense,0.0012907421921655,0.0441197187276108,47.39581527097423,336319.34268774703,-1.4564048820275837,-10.129605896832528
2021,Aerospace & Defense,0.0001118501298499,0.0284701086966437,56.36381890471019,332229.6059523809,-0.7574678966556342,18.921509383188265
2022,Aerospace & Defense,0.0002132017138763,0.0295814073915946,57.397787871057865,284272.4244846445,-0.1768028662217008,1.8344551282015065
1987,Airlines,-0.0029423541997864,0.0446512162320733,1.0303307192127695,73366.00790513834,3474.9535271740315,-16.22172006193293
1988,Airlines,0.0023052282835488,0.0382971608118701,0.6952569774488215,43738.339920948616,499.020890705343,-32.5209891849059
1989,Airlines,0.0016594869478555,0.0340393975385645,0.9981089816206976,53338.09523809524,1869.5146393252105,43.55972165617992
1990,Airlines,0.0003597142987749,0.0386996828957781,0.9107581652671451,49764.42687747035,1.2657680819270478,-8.751631130672221
1991,Airlines,0.001540425012864,0.0429464618765367,0.7761634847392207,104082.21343873518,-19.293350626418963,-14.778311703463563
1992,Airlines,0.0036842627145755,0.0401875655684179,1.288190419514348,235854.3307086614,-18.3954196588404,65.96895433017707
1993,Airlines,0.0056460138190056,0.034942508206677,4.095829213560806,407835.57312252966,-18.348996684754763,217.9521561032061
1994,Airlines,-0.0034717972681683,0.032600202849173,5.613611113457453,527087.3015873015,-18.840084948103776,37.05676728100504
1995,Airlines,0.0013974432020378,0.0814067336529405,3.5283564903575524,361213.2124352332,-13.55470610739352,-37.14640328577341
1996,Airlines,0.0016955903125089,0.0406065087192615,3.3268801917241317,175468.89763779528,-11.203079555590708,-5.71020244649384
1997,Airlines,0.001781564555366,0.0300087913636867,3.547888080097588,451661.85692541854,-11.96227679201112,6.643097305494505
1998,Airlines,0.0021481135761553,0.0393418963322164,5.269623858588083,450826.4550264551,-14.944086969531966,48.52846932091322
